i =    0, x = 12.38, y = 7.32, z = 7.58
i = 2757, x = -11.22, y = -1.47, z = -16.40
i = 2760, x = -11.22, y = 0.29, z = -16.40
i = 2763, x = -6.00, y = -1.47, z = -16.40
i = 2766, x = -8.73, y = -1.47, z = -16.40
i = 2769, x = -8.73, y = 0.29, z = -16.40
i = 2772, x = -1.24, y = -4.99, z = -16.40
i = 2775, x = -3.73, y = -4.99, z = -16.40
i = 2778, x = -3.73, y = -1.47, z = -16.40
i = 2781, x = -6.00, y = -4.99, z = -16.40
i = 2784, x = -8.73, y = -4.99, z = -16.40
i = 2787, x = -8.73, y = -1.47, z = -16.40
i = 2790, x = -6.00, y = -6.74, z = -16.40
i = 2793, x = -8.73, y = -6.74, z = -16.40
i = 2796, x = -8.73, y = -4.99, z = -16.40
i = 2799, x = 11.51, y = 0.29, z = 9.73
i = 2802, x = 12.39, y = 0.29, z = 9.73
i = 2805, x = 12.38, y = 0.29, z = 10.70
i = 2808, x = -11.22, y = 7.32, z = -16.40
i = 2811, x = -11.22, y = 7.76, z = -16.40
i = 2814, x = 11.51, y = 7.76, z = -16.40
i = 2817, x = 11.51, y = 7.32, z = 16.40
i = 2820, x = 12.38, y = 7.32, z = 16.40
i = 2823, x = 12.38, y = 7.76, z = 16.40
i = 2826, x = -5.19, y = 7.32, z = 4.98
i = 2829, x = -5.19, y = 7.76, z = 4.98
i = 2832, x = -4.31, y = 7.76, z = 4.98
i = 2835, x = 11.51, y = 7.32, z = -16.40
i = 2838, x = 11.51, y = 7.76, z = -16.40
i = 2841, x = 12.38, y = 7.76, z = -16.40
i = 2844, x = 11.51, y = 7.32, z = -15.53
i = 2847, x = 12.38, y = 7.32, z = -15.53
i = 2850, x = 12.38, y = 7.76, z = -15.53
i = 2853, x = -1.16, y = 7.32, z = 16.40
i = 2856, x = 0.96, y = 7.32, z = 16.40
i = 2859, x = 0.96, y = 7.76, z = 16.40
i = 2862, x = 3.60, y = 7.32, z = 16.40
i = 2865, x = 6.23, y = 7.32, z = 16.40
i = 2868, x = 6.23, y = 7.76, z = 16.40
i = 2871, x = 1.27, y = 0.29, z = -16.40
i = 2874, x = -1.24, y = 0.29, z = -16.40
i = 2877, x = -11.22, y = 0.74, z = -16.40
i = 2880, x = -6.00, y = 0.29, z = -16.40
i = 2883, x = -8.73, y = 0.29, z = -16.40
i = 2886, x = -11.22, y = 0.74, z = -16.40
i = 2889, x = -8.73, y = 0.29, z = -16.40
i = 2892, x = -11.22, y = 0.29, z = -16.40
i = 2895, x = -11.22, y = 0.74, z = -16.40
i = 2898, x = -11.22, y = 0.74, z = -16.40
i = 2901, x = 11.51, y = 0.74, z = -16.40
i = 2904, x = 1.27, y = 0.29, z = -16.40
i = 2907, x = 11.51, y = 0.29, z = -16.40
i = 2910, x = 9.88, y = 0.29, z = -16.40
i = 2913, x = 11.51, y = 0.74, z = -16.40
i = 2916, x = 5.57, y = 0.29, z = -16.40
i = 2919, x = 3.25, y = 0.29, z = -16.40
i = 2922, x = 11.51, y = 0.74, z = -16.40
i = 2925, x = 9.88, y = 0.29, z = -16.40
i = 2928, x = 7.55, y = 0.29, z = -16.40
i = 2931, x = 11.51, y = 0.74, z = -16.40
i = 2934, x = -3.73, y = 0.29, z = -16.40
i = 2937, x = -6.00, y = 0.29, z = -16.40
i = 2940, x = -11.22, y = 0.74, z = -16.40
i = 2943, x = 7.55, y = 0.29, z = -16.40
i = 2946, x = 5.57, y = 0.29, z = -16.40
i = 2949, x = 11.51, y = 0.74, z = -16.40
i = 2952, x = -1.24, y = 0.29, z = -16.40
i = 2955, x = -3.73, y = 0.29, z = -16.40
i = 2958, x = -11.22, y = 0.74, z = -16.40
i = 2961, x = -12.38, y = 0.29, z = 5.86
i = 2964, x = -12.38, y = 0.74, z = 5.86
i = 2967, x = -12.38, y = 0.74, z = 4.98
i = 2970, x = 11.51, y = 0.29, z = -16.40
i = 2973, x = 11.51, y = 0.74, z = -16.40
i = 2976, x = 12.39, y = 0.74, z = -16.40
i = 2979, x = 12.39, y = -5.02, z = 14.65
i = 2982, x = 12.39, y = -5.02, z = 15.53
i = 2985, x = 12.39, y = -6.74, z = 15.53
i = 2988, x = 12.39, y = 0.29, z = 15.53
i = 2991, x = 12.39, y = 0.74, z = 15.53
i = 2994, x = 12.39, y = 0.74, z = 16.40
i = 2997, x = 0.96, y = 0.29, z = 16.40
i = 3000, x = 3.60, y = 0.29, z = 16.40
i = 3003, x = 3.60, y = 0.74, z = 16.40
i = 3006, x = -5.19, y = 0.29, z = 16.40
i = 3009, x = -4.31, y = 0.29, z = 16.40
i = 3012, x = -4.31, y = 0.74, z = 16.40
i = 3015, x = 11.51, y = 0.29, z = 16.40
i = 3018, x = 12.39, y = 0.29, z = 16.40
i = 3021, x = 12.39, y = 0.74, z = 16.40
i = 3024, x = -12.40, y = 0.74, z = -16.40
i = 3027, x = -12.40, y = 0.74, z = -15.53
i = 3030, x = -12.40, y = 7.31, z = -15.53
i = 3033, x = -12.38, y = 0.74, z = 5.86
i = 3036, x = -12.38, y = 7.32, z = 5.86
i = 3039, x = -12.38, y = 7.31, z = 4.98
i = 3042, x = 11.51, y = 0.74, z = -16.40
i = 3045, x = 11.51, y = 7.32, z = -16.40
i = 3048, x = 12.38, y = 7.32, z = -16.40
i = 3051, x = 0.96, y = 0.74, z = 16.40
i = 3054, x = 3.60, y = 0.74, z = 16.40
i = 3057, x = 3.60, y = 7.32, z = 16.40
i = 3060, x = -11.22, y = 7.32, z = -15.53
i = 3063, x = 11.51, y = 7.32, z = -15.53
i = 3066, x = 11.51, y = 7.76, z = -15.53
i = 3069, x = 12.39, y = 0.74, z = 15.53
i = 3072, x = 12.38, y = 7.32, z = 15.53
i = 3075, x = 12.38, y = 7.32, z = 16.40
i = 3078, x = 12.39, y = 0.74, z = -16.40
i = 3081, x = 12.38, y = 7.32, z = -16.40
i = 3084, x = 12.38, y = 7.32, z = -15.53
i = 3087, x = -5.19, y = 0.74, z = 16.40
i = 3090, x = -4.31, y = 0.74, z = 16.40
i = 3093, x = -4.31, y = 7.32, z = 16.40
i = 3096, x = -12.40, y = 0.74, z = -15.53
i = 3099, x = -12.38, y = 0.74, z = 4.98
i = 3102, x = -12.38, y = 7.31, z = 4.98
i = 3105, x = 8.87, y = 0.74, z = 16.40
i = 3108, x = 11.51, y = 0.74, z = 16.40
i = 3111, x = 11.51, y = 7.32, z = 16.40
i = 3114, x = -1.68, y = 0.29, z = 16.40
i = 3117, x = -1.16, y = 0.74, z = 16.40
i = 3120, x = -4.31, y = 0.74, z = 16.40
i = 3123, x = -11.21, y = 0.29, z = 5.86
i = 3126, x = -5.19, y = 0.29, z = 5.86
i = 3129, x = -5.19, y = 0.74, z = 5.86
i = 3132, x = -5.19, y = 0.29, z = 15.53
i = 3135, x = -5.19, y = 0.29, z = 16.40
i = 3138, x = -5.19, y = 0.74, z = 16.40
i = 3141, x = 3.60, y = 0.29, z = 16.40
i = 3144, x = 6.23, y = 0.29, z = 16.40
i = 3147, x = 6.23, y = 0.74, z = 16.40
i = 3150, x = -5.19, y = 0.29, z = 5.86
i = 3153, x = -5.19, y = 0.29, z = 15.53
i = 3156, x = -5.19, y = 0.74, z = 15.53
i = 3159, x = -12.38, y = 0.29, z = 5.86
i = 3162, x = -11.21, y = 0.29, z = 5.86
i = 3165, x = -11.21, y = 0.74, z = 5.86
i = 3168, x = 6.23, y = 0.29, z = 16.40
i = 3171, x = 8.87, y = 0.29, z = 16.40
i = 3174, x = 8.87, y = 0.74, z = 16.40
i = 3177, x = 0.96, y = 0.29, z = 16.40
i = 3180, x = 0.96, y = 0.74, z = 16.40
i = 3183, x = -1.16, y = 0.74, z = 16.40
i = 3186, x = 8.87, y = 0.29, z = 16.40
i = 3189, x = 11.51, y = 0.29, z = 16.40
i = 3192, x = 11.51, y = 0.74, z = 16.40
i = 3195, x = -12.40, y = 0.28, z = -15.53
i = 3198, x = -12.38, y = 0.28, z = 4.98
i = 3201, x = -12.38, y = 0.74, z = 4.98
i = 3204, x = -12.40, y = 0.29, z = -16.40
i = 3207, x = -12.40, y = 0.74, z = -16.40
i = 3210, x = -11.22, y = 0.74, z = -16.40
i = 3213, x = -12.40, y = 7.32, z = -16.40
i = 3216, x = -12.40, y = 7.76, z = -16.40
i = 3219, x = -11.22, y = 7.76, z = -16.40
i = 3222, x = -12.38, y = 7.32, z = 5.86
i = 3225, x = -11.21, y = 7.32, z = 5.86
i = 3228, x = -11.21, y = 7.76, z = 5.86
i = 3231, x = -5.19, y = 7.32, z = 5.86
i = 3234, x = -5.19, y = 7.32, z = 15.53
i = 3237, x = -5.19, y = 7.76, z = 15.53
i = 3240, x = -5.19, y = 7.32, z = 4.98
i = 3243, x = -11.22, y = 7.32, z = 4.98
i = 3246, x = -11.22, y = 7.75, z = 4.98
i = 3249, x = -5.19, y = 0.74, z = 15.53
i = 3252, x = -5.19, y = 0.74, z = 16.40
i = 3255, x = -5.19, y = 7.32, z = 16.40
i = 3258, x = 3.60, y = 0.74, z = 16.40
i = 3261, x = 6.23, y = 0.74, z = 16.40
i = 3264, x = 6.23, y = 7.32, z = 16.40
i = 3267, x = -4.31, y = 0.74, z = 16.40
i = 3270, x = -1.16, y = 0.74, z = 16.40
i = 3273, x = -1.16, y = 7.32, z = 16.40
i = 3276, x = -5.19, y = 0.74, z = 5.86
i = 3279, x = -5.19, y = 0.74, z = 15.53
i = 3282, x = -5.19, y = 7.32, z = 15.53
i = 3285, x = -11.21, y = 0.74, z = 5.86
i = 3288, x = -5.19, y = 0.74, z = 5.86
i = 3291, x = -5.19, y = 7.32, z = 5.86
i = 3294, x = -12.38, y = 0.74, z = 5.86
i = 3297, x = -11.21, y = 0.74, z = 5.86
i = 3300, x = -11.21, y = 7.32, z = 5.86
i = 3303, x = -1.16, y = 0.74, z = 16.40
i = 3306, x = 0.96, y = 0.74, z = 16.40
i = 3309, x = 0.96, y = 7.32, z = 16.40
i = 3312, x = -12.40, y = 0.74, z = -16.40
i = 3315, x = -12.40, y = 7.32, z = -16.40
i = 3318, x = -11.22, y = 7.32, z = -16.40
i = 3321, x = 6.23, y = 0.74, z = 16.40
i = 3324, x = 8.87, y = 0.74, z = 16.40
i = 3327, x = 8.87, y = 7.32, z = 16.40
i = 3330, x = 11.51, y = 0.74, z = 16.40
i = 3333, x = 12.39, y = 0.74, z = 16.40
i = 3336, x = 12.38, y = 7.32, z = 16.40
i = 3339, x = 12.38, y = 7.32, z = 4.94
i = 3342, x = 12.39, y = 0.74, z = 4.94
i = 3345, x = 12.39, y = 0.74, z = -15.53
i = 3348, x = -11.21, y = 7.32, z = 5.86
i = 3351, x = -5.19, y = 7.32, z = 5.86
i = 3354, x = -5.19, y = 7.76, z = 5.86
i = 3357, x = -11.22, y = 0.74, z = -16.40
i = 3360, x = -11.22, y = 7.32, z = -16.40
i = 3363, x = 11.51, y = 7.32, z = -16.40
i = 3366, x = -12.40, y = 7.31, z = -15.53
i = 3369, x = -12.38, y = 7.31, z = 4.98
i = 3372, x = -12.38, y = 7.75, z = 4.98
i = 3375, x = -5.19, y = 7.32, z = 16.40
i = 3378, x = -4.31, y = 7.32, z = 16.40
i = 3381, x = -4.31, y = 7.76, z = 16.40
i = 3384, x = 12.38, y = 7.32, z = 15.53
i = 3387, x = 12.38, y = 7.76, z = 15.53
i = 3390, x = 12.38, y = 7.76, z = 16.40
i = 3393, x = -4.31, y = 7.32, z = 16.40
i = 3396, x = -1.16, y = 7.32, z = 16.40
i = 3399, x = -1.16, y = 7.76, z = 16.40
i = 3402, x = 6.23, y = 7.32, z = 16.40
i = 3405, x = 8.87, y = 7.32, z = 16.40
i = 3408, x = 8.87, y = 7.76, z = 16.40
i = 3411, x = -5.19, y = 7.32, z = 15.53
i = 3414, x = -5.19, y = 7.32, z = 16.40
i = 3417, x = -5.19, y = 7.76, z = 16.40
i = 3420, x = -11.22, y = 7.32, z = -15.53
i = 3423, x = -11.22, y = 7.76, z = -15.53
i = 3426, x = -11.22, y = 7.75, z = 4.98
i = 3429, x = 8.87, y = 7.32, z = 16.40
i = 3432, x = 11.51, y = 7.32, z = 16.40
i = 3435, x = 11.51, y = 7.76, z = 16.40
i = 3438, x = -12.38, y = 7.32, z = 5.86
i = 3441, x = -12.38, y = 7.76, z = 5.86
i = 3444, x = -12.38, y = 7.75, z = 4.98
i = 3447, x = -12.40, y = 7.32, z = -16.40
i = 3450, x = -12.40, y = 7.31, z = -15.53
i = 3453, x = -12.40, y = 7.75, z = -15.53
i = 3456, x = 0.96, y = 7.32, z = 16.40
i = 3459, x = 3.60, y = 7.32, z = 16.40
i = 3462, x = 3.60, y = 7.76, z = 16.40
i = 3465, x = 12.38, y = 7.32, z = -16.40
i = 3468, x = 12.38, y = 7.76, z = -16.40
i = 3471, x = 12.38, y = 7.76, z = -15.53
i = 3474, x = 11.51, y = 7.76, z = 4.98
i = 3477, x = 11.51, y = 7.76, z = -15.53
i = 3480, x = 11.51, y = 7.32, z = -15.53
i = 3483, x = 12.38, y = 7.76, z = 4.94
i = 3486, x = 12.38, y = 7.32, z = 4.94
i = 3489, x = 12.38, y = 7.32, z = -15.53
i = 3492, x = -12.40, y = -6.74, z = -16.40
i = 3495, x = -12.40, y = 0.29, z = -16.40
i = 3498, x = -11.22, y = -4.99, z = -16.40
i = 3501, x = -11.22, y = -4.99, z = -16.40
i = 3504, x = -11.22, y = -6.74, z = -16.40
i = 3507, x = -12.40, y = -6.74, z = -16.40
i = 3510, x = 11.51, y = -6.74, z = -16.40
i = 3513, x = 11.51, y = 0.29, z = -16.40
i = 3516, x = 12.39, y = 0.29, z = -16.40
i = 3519, x = 12.39, y = -5.02, z = 15.53
i = 3522, x = 12.39, y = -5.02, z = 16.40
i = 3525, x = 12.39, y = -6.74, z = 16.40
i = 3528, x = 12.39, y = -1.31, z = 12.78
i = 3531, x = 11.51, y = -1.31, z = 12.78
i = 3534, x = 11.51, y = -1.31, z = 9.73
i = 3537, x = 12.39, y = -1.51, z = 14.65
i = 3540, x = 12.39, y = -5.02, z = 14.65
i = 3543, x = 12.39, y = -5.02, z = 12.78
i = 3546, x = 12.39, y = 0.29, z = 9.73
i = 3549, x = 11.51, y = 0.29, z = 9.73
i = 3552, x = 11.51, y = -1.31, z = 9.73
i = 3555, x = 12.39, y = -1.31, z = 12.78
i = 3558, x = 12.39, y = -1.31, z = 9.73
i = 3561, x = 12.39, y = 0.29, z = 9.73
i = 3564, x = 11.51, y = -1.31, z = 9.73
i = 3567, x = 11.51, y = -1.31, z = 12.78
i = 3570, x = 11.51, y = 0.29, z = 12.78
i = 3573, x = 12.39, y = -6.74, z = 9.73
i = 3576, x = 12.39, y = -7.31, z = 9.73
i = 3579, x = 12.39, y = -7.31, z = 7.72
i = 3582, x = 12.39, y = -6.74, z = 16.40
i = 3585, x = 12.39, y = -7.31, z = 16.40
i = 3588, x = 12.39, y = -7.31, z = 15.53
i = 3591, x = 12.39, y = -6.74, z = 15.53
i = 3594, x = 12.39, y = -7.31, z = 15.53
i = 3597, x = 12.39, y = -7.31, z = 14.65
i = 3600, x = 12.39, y = -6.74, z = 7.72
i = 3603, x = 12.39, y = -7.31, z = 7.72
i = 3606, x = 12.39, y = -7.31, z = 4.98
i = 3609, x = 12.39, y = -6.74, z = 14.65
i = 3612, x = 12.39, y = -7.31, z = 14.65
i = 3615, x = 12.39, y = -7.31, z = 12.78
i = 3618, x = 12.39, y = -6.74, z = 9.73
i = 3621, x = 12.39, y = -6.74, z = 12.78
i = 3624, x = 12.39, y = -7.31, z = 12.78
i = 3627, x = 12.39, y = -7.31, z = 4.98
i = 3630, x = 12.39, y = -7.37, z = -16.40
i = 3633, x = 12.39, y = -6.74, z = -16.40
i = 3636, x = 0.96, y = -6.74, z = 16.40
i = 3639, x = 0.96, y = -7.76, z = 16.40
i = 3642, x = 3.60, y = -7.56, z = 16.40
i = 3645, x = 12.39, y = 0.74, z = -16.40
i = 3648, x = 12.39, y = 0.74, z = -15.53
i = 3651, x = 12.39, y = 0.29, z = -16.40
i = 3654, x = 12.39, y = 0.74, z = 4.94
i = 3657, x = 12.39, y = 0.29, z = 4.94
i = 3660, x = 12.39, y = 0.74, z = -15.53
i = 3663, x = -5.19, y = -6.74, z = 16.40
i = 3666, x = -5.19, y = -7.76, z = 16.40
i = 3669, x = -4.31, y = -7.76, z = 16.40
i = 3672, x = 3.60, y = -6.74, z = 16.40
i = 3675, x = 3.60, y = -7.56, z = 16.40
i = 3678, x = 6.23, y = -7.56, z = 16.40
i = 3681, x = 6.23, y = -6.74, z = 16.40
i = 3684, x = 6.23, y = -7.56, z = 16.40
i = 3687, x = 8.87, y = -7.56, z = 16.40
i = 3690, x = 8.87, y = -6.74, z = 16.40
i = 3693, x = 8.87, y = -7.56, z = 16.40
i = 3696, x = 11.51, y = -7.56, z = 16.40
i = 3699, x = -4.31, y = -6.74, z = 16.40
i = 3702, x = -4.31, y = -7.76, z = 16.40
i = 3705, x = -1.68, y = -7.76, z = 16.40
i = 3708, x = -1.68, y = -6.74, z = 16.40
i = 3711, x = -1.68, y = -7.76, z = 16.40
i = 3714, x = 0.96, y = -7.76, z = 16.40
i = 3717, x = 11.51, y = -6.74, z = 16.40
i = 3720, x = 11.51, y = -7.56, z = 16.40
i = 3723, x = 12.39, y = -7.56, z = 16.40
i = 3726, x = -5.19, y = -6.74, z = 15.53
i = 3729, x = -5.19, y = -7.76, z = 15.53
i = 3732, x = -5.19, y = -7.76, z = 16.40
i = 3735, x = -5.19, y = -6.74, z = 5.86
i = 3738, x = -5.19, y = -7.76, z = 5.86
i = 3741, x = -5.19, y = -7.76, z = 15.53
i = 3744, x = -12.38, y = -6.74, z = 5.86
i = 3747, x = -12.38, y = -7.76, z = 5.86
i = 3750, x = -11.21, y = -7.76, z = 5.86
i = 3753, x = -11.21, y = -6.74, z = 5.86
i = 3756, x = -11.21, y = -7.76, z = 5.86
i = 3759, x = -5.19, y = -7.76, z = 5.86
i = 3762, x = -12.40, y = -6.74, z = -15.53
i = 3765, x = -12.40, y = -7.76, z = -15.53
i = 3768, x = -12.38, y = -7.76, z = 4.98
i = 3771, x = -12.38, y = -6.74, z = 4.98
i = 3774, x = -12.38, y = -7.76, z = 4.98
i = 3777, x = -12.38, y = -7.76, z = 5.86
i = 3780, x = -12.40, y = -7.76, z = -16.40
i = 3783, x = -12.40, y = -7.76, z = -15.53
i = 3786, x = -12.40, y = -6.74, z = -15.53
i = 3789, x = 12.39, y = -7.37, z = -16.40
i = 3792, x = -12.40, y = -7.76, z = -16.40
i = 3795, x = -12.40, y = -6.74, z = -16.40

